source,mode,threshold,reference_steps,R_final,t0.25,t0.5,t0.75,t0.9
results/prebeam/supplied_scout,random_block_b8_seed101,0.5,256,23,20.0,40.0,,
results/prebeam/supplied_scout,random_block_b8_seed101,0.75,128,2,,,,
results/prebeam/supplied_scout,random_block_b8_seed101,0.75,256,15,22.0,,,
results/prebeam/supplied_scout,random_coordinate_seed101,0.1,128,31,12.0,32.0,46.0,52.0
results/prebeam/supplied_scout,random_coordinate_seed101,0.1,256,31,12.0,30.0,46.0,52.0
results/prebeam/supplied_scout,random_coordinate_seed101,0.25,128,31,16.0,34.0,52.0,58.0
results/prebeam/supplied_scout,random_coordinate_seed101,0.25,256,31,14.0,32.0,50.0,58.0
results/prebeam/supplied_scout,random_coordinate_seed101,0.5,128,15,20.0,,,
results/prebeam/supplied_scout,random_coordinate_seed101,0.5,256,26,18.0,36.0,58.0,
results/prebeam/supplied_scout,random_coordinate_seed101,0.75,128,2,,,,
results/prebeam/supplied_scout,random_coordinate_seed101,0.75,256,15,20.0,54.0,,
results/prebeam/supplied_scout,sync,0.1,128,31,14.0,30.0,46.0,54.0
results/prebeam/supplied_scout,sync,0.1,256,31,14.0,28.0,44.0,54.0
results/prebeam/supplied_scout,sync,0.25,128,31,18.0,34.0,52.0,60.0
results/prebeam/supplied_scout,sync,0.25,256,31,16.0,32.0,50.0,60.0
results/prebeam/supplied_scout,sync,0.5,128,15,24.0,,,
results/prebeam/supplied_scout,sync,0.5,256,24,18.0,38.0,64.0,
results/prebeam/supplied_scout,sync,0.75,128,2,,,,
results/prebeam/supplied_scout,sync,0.75,256,15,22.0,,,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau0_seed101,0.1,128,31,12.0,32.0,46.0,52.0
results/prebeam/scout/depth32_seed0,bounded_staleness_tau0_seed101,0.1,256,31,12.0,30.0,46.0,52.0
results/prebeam/scout/depth32_seed0,bounded_staleness_tau0_seed101,0.25,128,31,16.0,34.0,52.0,58.0
results/prebeam/scout/depth32_seed0,bounded_staleness_tau0_seed101,0.25,256,31,14.0,32.0,50.0,58.0
results/prebeam/scout/depth32_seed0,bounded_staleness_tau0_seed101,0.5,128,15,20.0,,,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau0_seed101,0.5,256,26,18.0,36.0,58.0,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau0_seed101,0.75,128,2,,,,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau0_seed101,0.75,256,15,20.0,54.0,,
results/prebeam/scout/depth32_seed0,bounded_staleness_tau16_seed101,0.1,128,31,12.0,32.0,48.0,56.0
results/prebeam/scout/depth32_seed0,bounded_staleness_tau16_seed101,0.1,256,31,12.0,30.0,48.0,54.0
results/prebeam/scout/depth32_seed0,bounded_staleness_tau16_seed101,0.25,128,31,16.0,34.0,54.0,64.0
